"Sample","Strain","Population","PoolSize","Age","Methionine","AMINOADIPATE","Carnitine","Acetylcarnitine","AC 14:1","Myristoylcarnitine","Palmitoleylcarnitine","Palmitoylcarnitine","Linolenylcarnitine","Linoleylcarnitine","Oleoylcarnitine","AC 20:2","AC 20:1","Stearoylcarnitine","Acetylcholine","Choline","phosphocholine","Cytidine diphosphate choline (CDPcholine)","Glycerophosphocholine"
"CB5","CRB","B","50","40",-0.487742077552661,-1.84073115650783,0.0366953525700771,0.913858871854099,0.10394543649697,1.18899423735357,1.27727815220185,1.20232377913233,-0.627956920945842,0.644502167313012,1.23564719397059,-0.270900208523855,-0.522541420475965,0.335800439987477,-1.29703122586459,0.0310986121086732,0.496858085702729,-1.34736141694414,-1.07273790187648
"CB6","CRB","B","100","40",-0.569467153637571,-1.96881403981403,0.0803501326755862,0.809172372932011,0.105181652060122,1.19818592666577,1.32026881307569,1.24182039473465,-0.520569924101735,0.786253630824517,1.34265996583657,-0.0904274905015567,-0.514635483719921,0.317520151446438,-1.29275959711924,-0.0158736262549874,0.401079240601888,-1.49884869335073,-1.13109627235348
"CC1","CRB","C","5","14",-0.233746732495346,-1.81714272097153,0.324390655365963,0.84323249184111,-0.537935399538978,0.560246868958108,0.899322966996761,1.01644113042727,-0.740779107550878,0.483722725937645,1.11609671638212,-0.601584590234205,-0.65565907061708,0.339215251960704,-0.810753007615316,0.322744467388059,0.782081685215839,-0.920428440712377,-0.369465890737866
"CC2","CRB","C","50","14",-0.31918420252886,-1.81770347886644,0.0391901064750595,0.665598441942278,-0.273167548125383,0.692714296241888,1.01191749230335,1.17432838853985,-0.508694022204606,0.759394640740928,1.26280497926477,-0.463247691645579,-0.440298764064631,0.541855918917295,-0.813334897284927,-0.0247382031155752,0.393820615297258,-1.26932750435321,-0.611928567533462
"CC3","CRB","C","100","14",-0.352059177029949,-1.91353353672739,0.113349006802149,0.670900222682309,-0.163705898072374,0.692645148833603,1.04974751214262,1.12410766739185,-0.502313303063201,0.824914701996688,1.261328930397,-0.377051878311157,-0.324030709709983,0.570707034033385,-0.727255075285394,-0.0751883199720051,0.313186747020991,-1.43560634679508,-0.750142726334071
"CC4","CRB","C","5","40",-0.549070937551068,-1.77859468548921,0.348891642519975,0.915265030910903,-0.0385573930389951,1.21638007391675,1.21127710589485,1.18754779112172,-0.725527405723074,0.490773959480981,1.19175084011369,-0.450118718176514,-0.67113034332622,0.268173338524048,-1.44408359794874,0.188688011418898,0.640509501068816,-1.22051826711771,-0.7816559465991
"CC5","CRB","C","50","40",-0.382371727491065,-1.9095746332887,0.284513441095254,0.968624628037078,0.0100450186887553,1.00632771074465,1.14090972467975,1.10818734931503,-0.681160301564232,0.607681659105738,1.19687913123054,-0.363433557339141,-0.633677607607714,0.274100140983024,-1.27541943222743,0.196802028241253,0.543824569743871,-1.20553426736995,-0.886723874976722
"CC6","CRB","C","100","40",-0.509657363401949,-1.85159489058763,0.101713179460966,0.862606647200789,0.192676367409,1.19785538055428,1.28138786951454,1.24740428061111,-0.601218867423152,0.773081501469214,1.35289271621915,-0.0397809543761314,-0.482613920306994,0.396283410910878,-1.43551312151313,0.00287194402088176,0.342410877657749,-1.59301794115609,-1.23778711626348
"WA1","ORWT","A","5","14",-0.112682182917152,-1.63058364450395,0.282457050394592,0.714974985835974,-0.995530331478927,0.320142496793243,0.714072854939001,0.92082986063012,-0.169659553648523,0.480495347175147,1.11578979479695,-0.669857446648601,-0.48123677345545,0.477080946574493,-0.730920812812913,0.488280089638661,1.12365232344164,-1.02000250870605,-0.827302496048246
"WA2","ORWT","A","50","14",-0.226965184975307,-1.71387854961642,-0.029147849247944,0.675764566519425,-0.608578555659701,0.498070263846787,0.799525504963902,1.04079681460622,0.0981158289724942,0.673630713610732,1.21121571027375,-0.623575016099058,-0.374914889398386,0.57984855738635,-0.687328136654361,0.14995886997169,0.789142746599186,-1.26833502107614,-0.983346374023214
"WA3","ORWT","A","100","14",-0.255384722886643,-1.64966276142055,0.199536551244088,0.658331192541332,-0.695021457886781,0.523546084872296,0.795462229929591,1.07975366484781,0.149425102729031,0.730972864074162,1.16218898169699,-0.552264256744689,-0.470367900525744,0.445819605950785,-0.761776401889917,0.193141782185114,0.70154818763754,-1.34418456081292,-0.911064185541494
"WA4","ORWT","A","5","40",-0.371230837253098,-1.73626130882078,0.496377700741387,0.861657395359231,-1.01015324145371,0.342989811349242,0.608978136786352,1.02393732568935,-0.219363664199588,0.226312349249163,1.01699970408116,-0.369853030258655,-0.583498051096003,0.454651265975239,-0.885159548251608,0.517476550693443,1.23382992879848,-1.04835169806438,-0.559338789325238
"WA5","ORWT","A","50","40",-0.300722498339848,-1.51666764316264,0.190605293319805,0.883305842965076,-0.51246615178074,0.375431260963799,0.658263053269507,0.955064206477644,-0.31506605838611,0.561586456420031,1.08097373862755,-0.359894756708525,-0.505868089210249,0.489211128746583,-1.1007361279835,0.433059944971698,0.902229032732608,-1.09486380971939,-0.8234448232033
"WB1","ORWT","B","5","14",-0.112786705120572,-1.57678108173896,0.219737517832828,0.727308656895177,-0.602217874570932,0.397854719286902,0.631836376955606,0.902320461820879,-0.119520481591093,0.415526587518319,1.08443646249212,-0.664167705820989,-0.579938887013044,0.42759193996786,-0.975720758714425,0.523386930679735,1.08628974847724,-0.999890037559321,-0.785265869797334
"WB2","ORWT","B","50","14",-0.250921210886195,-1.76846687967891,-0.019063145234977,0.620900294867392,-0.404387213056303,0.523410765645559,0.829069166024378,1.03318644488082,0.146563744508881,0.64897777092035,1.20157151031283,-0.631938811444141,-0.497938231368272,0.437291640640352,-0.555571053544975,0.159745024320043,0.737463353808687,-1.32165908073664,-0.888234089978882
"WB3","ORWT","B","100","14",-0.162735714276049,-1.66753955426351,0.116596768304341,0.662681341324511,-0.514678177954107,0.581273000705101,0.855847212025462,1.05310133635998,0.149090301739609,0.741001189800001,1.23165867930628,-0.53838235863717,-0.5683522779323,0.119467636098765,-0.643090723626288,0.210003861355477,0.721237971428998,-1.34152240079684,-1.00565809096228
"WB4","ORWT","B","5","40",-0.588028961883792,-1.52126004610969,0.46152817259554,0.846026650711607,-0.953594892958249,0.550379020151574,0.770074516463293,0.980458284422355,-0.247357781492985,0.276334730775712,1.00733144681501,-0.34174785375988,-0.889004836483225,0.480654836681476,-0.783277174273356,0.553257039565113,1.21580401124033,-1.17702688129445,-0.640550281166387
"WB5","ORWT","B","50","40",-0.475544184379982,-1.84825607906939,0.196904072479401,0.780210064657672,-0.603406858844346,0.638532266448325,0.884339721362473,1.15943780003854,-0.175373910546857,0.55884355031889,1.20191125705696,-0.244257471660417,-0.504246158840596,0.633054294847108,-0.80242460166245,0.269393912337541,0.837422242582353,-1.55622811813048,-0.950311798994726
"WB6","ORWT","B","100","40",-0.365839726928358,-1.72285772175014,0.192708459623311,0.855680514986497,-0.457677718977711,0.669558651919472,0.8406414717602,1.07694940315735,-0.104465179036866,0.615895954049211,1.14126452171475,-0.238904847676654,-0.66210026592078,0.375423463995607,-0.825134760989846,0.28055338087457,0.854018323976927,-1.53614506826047,-0.989568856517081
"WC1","ORWT","C","5","14",-0.35569420495024,-1.55421527406928,0.401904700886186,0.7827480298287,-1.05559655421557,0.241137484881548,0.631906834668749,0.888581529520244,-0.188406805538983,0.516337493706891,1.12091922235145,-0.682522387920776,-0.530252500133111,0.408925291664079,-0.671308012644613,0.476159872223031,1.05502160835689,-1.00002994008154,-0.485616388533645
