"RunOrder","Tube","Cell","Sample","ID","Diet","Population","PoolSize","Isocitric acid (Isocitrate)","Leucine","Lysine","Phenylalanine","Tryptophan","Asparagine","Aspartic acid","Ornithine","Acetyl coA","Coenzyme A","Adenosine triphosphate","Adenosine 5'-diphosphate","Adenosine 5'-monophosphate","FADH","NADP","NADPH","NADH","NAD"
5,"X11","D2","HSD_4_050","T4M","HSD","4","50",0.754185259419358,0.873413121224064,0.83121502963959,1.11146997231854,0.536874513058411,0.341113348695806,-0.919805168751795,-0.749573117314229,-0.805284424796694,-1.66554099569127,-1.6104550014122,1.21869896682619,2.29350992477445,-1.0786149955364,-0.0347063302402653,-1.67117047350676,-0.969346109887687,1.5440164811809
4,"X12","D3","HSD_4_100","T4L","HSD","4","100",0.762649350370353,0.89369446294908,0.967275991012476,1.18661933372266,0.573111532700805,0.456958171685387,-0.648020880596916,-0.60147158065354,-0.612883821560566,-1.5826936394841,-1.55616833842244,1.28031800144308,2.22101996217273,-1.82028291884062,-0.0375524788685535,-2.35895122647468,-0.764200878276328,1.64057895712116
2,"X13","E1","HSD_5_005","T5S","HSD","5","5",0.645825394062438,0.776137966417415,0.768806460884488,0.941483484701056,0.280542078087803,0.329692362218886,-0.755251739010902,-0.512601706367901,-0.515419581437691,-1.97497373942116,-1.04314054659689,1.47524934845354,2.28592617457457,-1.40438952946391,0.369971950612039,-1.61204166994054,-1.64698490801223,1.59116820023899
14,"X14","E2","HSD_5_050","T5M","HSD","5","50",0.564249087397615,0.703830782469145,0.714206171677231,0.939470776984978,0.332639477417096,0.194359645655721,-0.840228795066335,-0.78968795109808,-0.551044408987575,-1.46384970804552,-1.39032002357359,1.34652661289636,2.21125721314051,-1.29045862419161,0.143438743169669,-1.65277038022784,-0.805569316240969,1.63395069662318
44,"X15","E3","HSD_5_100","T5L","HSD","5","100",0.556900367160562,0.7048450262223,0.778283790003303,0.973665676356416,0.412739537938405,0.294618653147927,-0.726946056753875,-0.73406938582926,-0.464868893548832,-1.73974421488521,-1.4279439805241,1.37426066172334,2.19846704308064,-1.47526499916548,0.0208053140159956,-1.96292781894038,-0.503204537017664,1.72038381701593
36,"X16","F1","HSD_6_005","T6S","HSD","6","5",0.517310737379675,0.690479900087238,0.757952787815276,0.811744740295627,0.159419881487865,0.149320078358913,-0.86748627385094,-0.781544936650345,-0.627027738377509,-1.17312727298984,-0.974127663753495,1.37698238849152,2.23664110750509,-1.27426914087152,0.314096125939954,-1.21431500418288,-1.65357530587484,1.5515255891902
34,"X17","F2","HSD_6_050","T6M","HSD","6","50",0.62711149538907,0.707659435328682,0.720334419596732,1.01422837802638,0.406261883120473,0.221705018271686,-0.791850140552008,-0.875132951852154,-0.631344093035444,-1.50717991067519,-1.37494755406984,1.34987401748222,2.22808128381746,-1.3911991102174,0.0818323986589959,-1.62855829828471,-0.825862573556327,1.66898630255137
15,"X18","F3","HSD_6_100","T6L","HSD","6","100",0.740123474496085,0.861704005612148,0.682530936404659,1.1419370010645,0.59386320909971,0.347688372735012,-0.627278301665613,-0.732330506344695,-0.595332199039956,-2.119323479831,-1.41180777064487,1.3214076654316,2.29077147193009,-1.23885288220692,0.0223321160517695,-2.17515389231997,-0.676291845832945,1.57401262506039
33,"X19","G1","HSD_7_005","T7S","HSD","7","5",0.593892742267102,0.728266366467143,0.71413263632629,0.905760150090956,0.334730929237816,0.174802703220435,-1.07475681665474,-0.891065921503758,-0.563933906797952,-1.18233015079805,-1.17275986967468,1.40954197092279,2.21486006255383,-1.13779978734827,0.306023225890739,-1.46742343068105,-1.45768769315547,1.56574678963687
32,"X20","G2","HSD_7_050","T7M","HSD","7","50",0.596509955359309,0.70115289673757,0.772784973611492,0.976591894205789,0.40836977010618,0.272559684188015,-0.953501403629251,-0.908863255790034,-0.598227415170635,-1.57267860320777,-1.21168992660846,1.35035990128286,2.22733861059823,-1.37647946214965,0.148009584004869,-1.66268171578855,-0.832007215900823,1.66245172815085
9,"X21","G3","HSD_7_100","T7L","HSD","7","100",0.958210353146026,1.14763928937204,0.890174475038906,1.39459722405064,0.612180872034839,0.509966031757862,-0.56251284598474,-0.752045555871899,-0.579227469889517,-2.28456693866061,-1.94685308669224,1.23998216984773,1.88551563180072,-1.11199270931698,-0.296857354111297,-1.80618636033985,-0.70946249029411,1.41143876411247
20,"X22","H1","HSD_8_005","T8S","HSD","8","5",0.615076117647631,0.753658522409676,0.780424689226552,0.888339534431188,0.355009831726004,0.216693033092555,-1.13642459738069,-0.814994613771249,-0.448641138704161,-1.61074975372635,-1.13899403682579,1.42792611925708,2.27012937153164,-1.12353154893627,0.354212055628782,-1.64279646027716,-1.37115200831774,1.62581488298831
41,"X23","H2","HSD_8_050","T8M","HSD","8","50",0.62569247119894,0.726165577411496,0.73134628324215,0.984922730997242,0.382301875017982,0.309727246695598,-0.786730248437152,-0.920726183468396,-0.691475539321821,-1.59273317254649,-1.3061100940876,1.4211538346781,2.22667700553557,-1.31932989072694,0.148296194898826,-1.63641593245559,-0.987339751562009,1.6845775929301
39,"X24","H3","HSD_8_100","T8L","HSD","8","100",0.612652817947719,0.756993366923818,0.82700534013444,1.03540601392059,0.46943377838659,0.350640019095652,-0.844220579643214,-0.71486604126769,-0.665620198100052,-1.48274472310922,-1.47548022685592,1.39310397619187,2.19733649361284,-1.5261906668059,0.0152069397526624,-1.74009269433981,-0.915796096448077,1.7072324806037
3,"X25","A4","STD_1_005","C1S","STD","1","5",0.823765671661881,0.98054909641239,0.923449531538367,1.10512496805182,0.59229647589361,0.337988053011414,-0.917062409347845,-0.573488803636069,-0.863786252558057,-0.887563801153161,-1.15853211747805,1.23785837369492,2.10223192835137,-1.56219574984887,0.3138076701404,-1.96157687398187,-1.8840518881951,1.39118612744286
16,"X26","A5","STD_1_050","C1M","STD","1","50",0.755977586720161,0.898609353704284,0.692946802796123,1.06486580604254,0.53311894594208,0.302681813430373,-1.072548554608,-0.602944725165286,-0.567872951901571,-1.41053671102144,-1.17085685190353,1.28609968358427,2.14749945048918,-1.24232903172265,0.320041756401772,-1.82105605777667,-1.70211613037852,1.58841981536688
