"RunOrder","Tube","Cell","Sample","ID","Diet","Population","PoolSize","2-Hydroxyglutaric acid (2-Hydroxyglutarate)","2-Oxoglutaric acid (Ketoglutaric acid)","5-Aminopentanoic acid","5-Dehydro-D-gluconate","Aspartylglycosamine","CDP-Ethanolamine","CMP-N-acetylneuraminic acid","Cytidine","Erythrose-4-Phosphate","D-Gluconic acid","Sedoheptulose 7-phosphate","gama-Aminobutyric acid","glucose 6 phosphate","Glutamic acid","Glycerol 3-phosphate","Glycerylphosphorylethanolamine","Glycine","Guanidylic acid (guanosine monophosphate)","Guanosine","Inosine","N-(1-Deoxy-1-fructosyl)histidine","Oxidized glutathione","Proline","pyruvate","Taurine","Urate","Valine","Decanoic acid (Capric acid)","Dodecanoic acid (Lauric acid)","Tetradecanoic acid (Myristic acid)","5-Tetradecenoic acid","Hexadecanoic acid (Palmitic acid)","Hexadecenoic acid","Stearic acid (FA 18:0)","Oleic acid (FA 18:1)","Linoleic acid (FA 18:2)","alpha Linolenic acid (FA 18:3)","Arachidic acid (FA 20:0)","Eicosenoic acid (FA 20:1)","Eicosadienoic acid (FA 20:2)","Docosanoic acid (Behenic acid, FA 22:0)","Erucic acid (FA 22:1)","Docosadienoate (FA 22:2)","Tetracosanoic acid (FA 24:0)","Nervonic acid (FA 24:1)","2-Aminoisobutyric Acid","5,6-Dihydrothymine","Dimethylarginine (A/SDMA)","Kynurenine","Argininosuccinate","S-Adenosylhomocysteine","2-Hydroxyisobutyrate/2-Hydroxybutyrate"
5,"X11","D2","HSD_4_050","T4M","HSD","4","50",-0.228697912722086,-0.372438944409775,-0.260830481194687,-1.12819110499067,-1.48433931503864,-0.0410914919707022,-1.43475020634906,0.539707500935762,-0.282359741369179,0.859493707259179,0.327720294075939,-0.667236982137902,1.31397454578486,0.488461890231841,0.53885813187418,0.333905259118559,-0.826715592013837,0.351364589649383,0.0376174786023178,1.40088551470255,-0.829373861477108,-0.695077280113943,0.677569090059076,0.07507847788633,0.585349460884524,0.962864402315492,-0.259378087928767,-0.23214684827578,1.65367212166317,1.89190514584167,1.80628835682961,1.77751124382583,2.08134598215293,0.928085949037751,2.00479268700752,1.66020443760134,1.03317695015997,-0.419312702347828,-0.524548810042886,-0.435524386291545,-0.708311128276628,-1.62469799889298,-1.41111268587689,-1.83577192462688,-1.68092837971752,-0.659305061260099,-0.116546212753083,-1.16076200212616,-0.517447114681452,-1.12597080656235,-0.180808777154726,-2.1861573768966
4,"X12","D3","HSD_4_100","T4L","HSD","4","100",-0.170365860381003,-0.235725916905539,-0.086166465065709,-0.909051143738063,-1.25638132059238,0.0337893015433233,-1.22269010667133,0.689822408160139,-0.0861623618445098,1.42259234440878,0.468179432653909,-0.536126073384414,1.50921302684723,0.664375864958798,0.728647266320805,0.555802512021835,-0.86425572926392,0.355770084186537,0.11190349041472,1.44119550974064,-0.871373601019386,-0.340770130368142,0.863831788293258,0.0257440728134259,0.575543045575486,0.722436003874839,-0.0860835690764921,-0.472654460947616,1.42574387407694,1.66792518580214,1.62073851997693,1.53441223673972,1.91521873210862,0.597836241746164,1.81208255334692,1.49609085784785,0.828952534254524,-1.00932504810032,-0.792879905042653,-0.603908929394215,-1.30939709772134,-1.81652922562676,-1.6308311693407,-2.15104945632228,-2.15265099345291,-0.530857669063131,0.162589538171289,-0.869152704976295,-0.0533892485107197,-0.94298461838853,-0.133087978615475,-2.09658564207096
2,"X13","E1","HSD_5_005","T5S","HSD","5","5",-0.125752900892945,-0.342522754193413,-0.422403871431571,-1.03738088395323,-1.49506618057116,-0.102840421804478,-1.65724767374811,0.654958954507579,-0.547323227754231,1.6159394606964,0.340246286283997,-0.773295814985669,0.950244247562599,0.366384268744071,0.337208319175796,0.358252603166051,-0.857363210309455,0.39798286660602,-0.162310010291065,1.18887628325252,-0.739165546647265,-0.848441225408114,0.700843268175931,0.0921853045617915,0.607746539334077,0.983069875047899,-0.421962703146025,-0.788886557910173,1.1328445138803,1.62053409465817,1.33792047261352,1.7535267733002,1.82398046351742,1.15224451871298,1.79275655849134,1.38484088597334,0.614516306486848,-0.240637025803709,-0.526586064050412,-0.546998500395105,0.0171412271203417,-0.791092982083067,-1.49772618827455,-0.694417286824967,-1.01494433977276,-0.756041328311442,0.101045303763861,-1.76678484788667,-0.366378988420642,-0.968744382400577,0.0472393417234311,-1.88021382008566
14,"X14","E2","HSD_5_050","T5M","HSD","5","50",-0.144560990132292,-0.900633255674513,-0.490648446603428,-1.11908451643227,-1.60154249191726,-0.471430214608603,-1.39511542052877,0.353722539836716,-0.67946420769157,0.814798886315549,-0.0311585659290881,-0.874340175441453,0.862153378844627,0.292375743609324,0.251047269269918,0.117492509032786,-0.860477891530899,0.165972723746359,-0.289640923451623,0.86007957570091,-1.00918763032784,-0.719180248159244,0.519439180607295,-0.372728724829774,0.343088360375064,0.773532527008346,-0.464572680753397,0.0111054704256031,1.88347302793872,2.08513827332958,2.03705567347964,2.00570888708987,2.2929024105472,1.21132316146838,2.28570103010126,1.86253817570534,1.22728923512608,-0.173656589181226,-0.139653396726191,-0.0437167822716802,-0.139116209335644,-0.914045050109469,-0.840864859342302,-1.29522429380874,-1.00185520196205,-0.866654155099187,-0.0908586844919848,-1.07584052891936,-0.735426739543676,-1.10599701252514,-0.214281127501609,-2.19498102472827
44,"X15","E3","HSD_5_100","T5L","HSD","5","100",-0.120668244404692,-0.64582127525782,-0.46811058412031,-0.931452543857567,-1.3798552589055,-0.341602455871227,-1.55908681104902,0.427332811288967,-0.428279815016446,0.938667395491372,-0.0446724615251917,-0.794597089887019,1.08118633085521,0.406338964789222,0.256369636321474,0.260372344447648,-0.685443394352327,0.195837271916178,-0.187668361100136,0.956430520258255,-0.820152886412728,-0.866736631695264,0.48414721637424,-0.252542307001994,0.427022658938693,0.599950931869608,-0.471102480813844,0.0792090041167279,1.90933798866891,2.06719381280224,2.01873162378334,1.88317444257252,2.31028367880219,1.05122658199982,2.28735514529379,1.91581607167099,1.34478407136725,-0.371031179609694,-0.158091959016482,-0.0828208095172558,-0.609747639938987,-1.16008032040474,-1.01862093297562,-1.82284422244709,-1.42782298495856,-0.775443758430402,0.032481304549842,-0.969791431491347,-0.477516165279971,-1.09536387654116,-0.241459382997882,-2.72482254329822
36,"X16","F1","HSD_6_005","T6S","HSD","6","5",-0.0654778635926849,-0.784370987206993,-0.586690835738128,-1.15053691810244,-1.35462627612751,-0.383780439093508,-1.81890815948817,0.397503895353786,-0.691997357216878,1.20165390359149,0.170249059186072,-0.82311763335002,0.759339554466495,0.298248272259989,0.0618457167162525,0.0933376498470704,-0.814723553286656,0.284627578998437,-0.48849073562144,0.648358963257506,-1.3213555996332,-1.17479549228368,0.402331869872794,0.293467096460359,0.548187447304606,1.01289733499036,-0.587156288799989,-0.182701735946313,1.59694798051666,1.9939340669894,1.6983177398366,2.15470526993796,2.15581184710781,1.63388114713201,2.12343909618686,1.66690755651661,0.911865371186465,0.127596075388348,-0.284644648903925,-0.423975859877347,0.197456203177005,-0.512134655921782,-1.27274916099708,-0.44647991921143,-0.69949737801364,-0.802143010776936,-0.0622622823261336,-1.31179080695499,-1.42478064017694,-1.15289764052119,0.124884000302804,-1.93570881741475
34,"X17","F2","HSD_6_050","T6M","HSD","6","50",-0.0336308776735299,-0.626897003554183,-0.72476387596606,-0.977035497753084,-1.38091524379384,-0.301212370347558,-1.48178457816047,0.604530940485918,-0.445353100724346,0.729734741979212,0.198693636151438,-0.74897784737593,1.04728256787114,0.416693551701238,0.281130637610429,0.236438052679183,-0.725765737314625,0.336722245993211,-0.510116652893195,0.642117697583856,-1.18453500668714,-0.649894883785004,0.441696477448053,-0.342297769737015,0.437611195870064,0.669931494255382,-0.702701207195172,-0.104058770802888,1.75232559563337,2.03252607875507,1.9032662577929,1.96374037032155,2.23928049266223,1.19608845246416,2.19735376860153,1.81380418945769,1.08307054842084,-0.262672654301237,-0.201659513983468,-0.131151413627388,-0.485930965557396,-0.895070832101708,-0.892087489124131,-1.3637392997995,-1.0645690730382,-0.744294659181031,-0.0333663172882641,-1.18956011686662,-0.96717582740586,-1.04264676060223,-0.00953285950395433,-2.00064078759342
15,"X18","F3","HSD_6_100","T6L","HSD","6","100",-0.1086451579051,-0.740561402584795,-0.398605316571997,-0.899876028296855,-1.32562581341376,-0.344864319183812,-1.55147589953371,0.357026003027705,-0.463492033835645,0.950424241600188,0.0844011709417769,-0.683861680749803,1.08225566905179,0.551145764135119,0.370612623925425,0.223762558507151,-0.805447538002658,0.108677415516039,-0.106840973103348,0.913644332081843,-0.89223251299321,-0.835754191550111,0.740214099831657,-0.00098362576006128,0.515539328918381,0.699680720228582,-0.398754122631266,0.004685445268648,1.87500065191804,2.03335337837914,1.96144799891031,1.87637649195922,2.23189958316205,1.03875062476838,2.18015468424749,1.8591450310672,1.13507570152861,-0.47595386047333,-0.243272476055479,-0.144165341238855,-0.769749437151726,-1.11289803955661,-1.05099693408152,-2.13301199420248,-1.40499106702775,-0.674021239341434,0.0431226774132165,-1.01850958016487,-0.573873307515274,-1.18833243145771,-0.33439373595166,-2.15520613605314
33,"X19","G1","HSD_7_005","T7S","HSD","7","5",-0.0799778029519604,-0.625411531942505,-0.833332970528473,-1.10431988154166,-1.6011493239415,-0.103603926694925,-2.0381896551786,0.386724913734032,-1.00189536737038,0.662852016809296,-0.179831833758498,-0.918200351972686,0.473753310955395,0.235728619805595,-0.0953621935865323,0.181307164847813,-0.936635150989763,0.286449814473787,-0.423947549197154,0.707378441058401,-1.14985785777545,-1.38571407737544,0.125932159756297,-0.364997128926108,0.30713594904411,0.72446979357354,-0.833070530746975,-0.11051820096419,1.80407753687717,2.06677427660697,1.8929453455607,2.26818526855093,2.26957938575655,1.70804620883367,2.30163535069081,1.90914534338483,1.13754149051197,0.290748308947687,-0.0404060142193616,-0.0441731253972124,0.633878960330264,-0.262324843591704,-0.72877965442972,-0.100512630872565,-0.410865392692011,-0.902597871952251,-0.191201869875081,-1.50654561944088,-1.12991820290942,-1.28241965387503,-0.101818250160332,-1.88671119525147
32,"X20","G2","HSD_7_050","T7M","HSD","7","50",-0.108307007344815,-1.30012172479324,-0.556164309441734,-1.03577902576081,-1.48241973715297,-0.190206894572368,-1.57714773085387,0.592077083538132,-0.574567895083773,1.06395931265192,0.208221439928344,-0.780081079943979,0.919121178088675,0.473889248369506,0.444360391283689,0.184659395072249,-0.861964953231511,0.302338255877806,-0.355328361764471,0.716647181928471,-0.928945517207441,-0.778175786092626,0.590660637048943,-0.371822798396311,0.559040180556605,1.08409081414962,-0.522707056881073,-0.150887956214458,1.74546570203247,1.95396491071438,1.87451619425793,1.91454391406551,2.17114062433615,1.09006228067175,2.16903435150794,1.76565618996635,0.997432850050414,-0.318274917870429,-0.255795419520042,-0.175124788046432,-0.224469204141965,-1.00337837628017,-1.02762115524255,-1.19396125004338,-1.07554528155968,-0.773701903549832,-0.0440389663602279,-1.16675414381414,-0.875515461404865,-1.05994859944811,-0.0316145374554129,-2.02051029662414
