"Sample","Strain","Population","PoolSize","Age","Methionine","AMINOADIPATE","Carnitine","Acetylcarnitine","AC 14:1","Myristoylcarnitine","Palmitoleylcarnitine","Palmitoylcarnitine","Linolenylcarnitine","Linoleylcarnitine","Oleoylcarnitine","AC 20:2","AC 20:1","Stearoylcarnitine","Acetylcholine","Choline","phosphocholine","Cytidine diphosphate choline (CDPcholine)","Glycerophosphocholine"
"WA2","ORWT","A","50","14",0.370994164089981,0.280618363304982,0.0292143713518227,0.131026503273764,0.0384501230726828,0.0704855814116305,0.123964195415761,0.228115713795787,0.725631670065147,0.335774334503079,0.289687008414924,0.0537045402245386,0.441302550133617,0.437768074140048,0.500476059655433,0.176743438076365,0.319029925174859,0.244564253175962,0.0688364948461295
"WA3","ORWT","A","100","14",0.435670464631551,0.437929989953765,0.350994610296761,0.206688967748577,0.0451030592985084,0.189057240890046,0.212996758834356,0.360168402490277,0.87003678227459,0.486212323419416,0.333756118291076,0.218111138031814,0.438945377459166,0.396834961157389,0.519123632872782,0.313022188742695,0.324531204666119,0.261810551892087,0.234214521780756
"WA4","ORWT","A","5","40",-0.642317776807711,-0.610810684519273,-0.314306367278747,-0.552126956506331,-1.23217085134122,-0.953641159705816,-0.935629461381691,-0.657790063740987,-0.460894111726836,-0.980590318478391,-0.773575286397566,-0.56161976255496,-0.6363269001839,-0.556475505890964,-0.566401640561716,-0.324785169821783,-0.105329181245745,-0.404498712432177,-0.376202209075795
"WA5","ORWT","A","50","40",0.0521320216596335,0.232724440692954,0.00386268485376462,0.0934629506536089,-0.110542302114163,-0.297258250537165,-0.262403085344441,-0.102721723398598,0.0673449536407364,-0.0213747517534282,-0.0856597922970792,0.0722799705492649,0.0652445212559485,0.102025816434475,-0.158036760739511,0.214739684010567,0.187011382242474,0.172930635466901,-0.0163667833997625
"WB1","ORWT","B","5","14",-0.164509872628797,-0.231966685391066,-0.371582778140918,-0.467111922923996,-0.60487171241206,-0.679412479721767,-0.693407449166047,-0.560043155563068,-0.141687157071952,-0.572012308162845,-0.486774755940218,-0.636570666070905,-0.413403964054552,-0.364171059851954,-0.437599078978145,-0.0995110177891023,-0.033505589520602,-0.136673279880733,-0.382765517501502
"WB2","ORWT","B","50","14",0.330060351349128,0.20905224641253,0.0223212885348243,0.0591844447917653,0.225663678846115,0.0788482963804364,0.136530069646271,0.20352755724042,0.757101798771568,0.294143604982732,0.263065021624036,0.02836295804949,0.301301421333767,0.278233370564084,0.615255355934853,0.169551805594753,0.250372745554395,0.174262406685494,0.146970992060496
"WB3","ORWT","B","100","14",0.505971631867802,0.397705355736456,0.245706985982671,0.188691275157413,0.20309849785684,0.224436315348507,0.251033899555884,0.31116823262811,0.847354139910825,0.473892807770912,0.380877974526022,0.209645194764989,0.318613158678266,0.0481351499310261,0.615461469762068,0.307536426538715,0.321873147083234,0.242124870533827,0.117272774985628
"WB4","ORWT","B","5","40",-0.848617554069103,-0.385311074438889,-0.338657548055293,-0.557259353784654,-1.16511415547647,-0.735753603534183,-0.764034734335448,-0.69077075763868,-0.478389881650932,-0.92006958958254,-0.77274519629441,-0.523016238686884,-0.931335338201821,-0.519973587815425,-0.454020919214162,-0.278506333580811,-0.112856751434593,-0.522675548292952,-0.446915353547643
"WB5","ORWT","B","50","40",-0.0464464342895079,-0.0226207651228032,0.0864046941043535,0.0666104024371963,-0.125239779086777,0.0420859850383541,0.0399168128395173,0.17789510025329,0.283280331570982,0.0521255722364238,0.111520956223316,0.264160485688365,0.143109681716593,0.322112212625992,0.216517995672529,0.127316881467402,0.198447822183212,-0.212190442853198,-0.0669905291001962
"WB6","ORWT","B","100","40",0.125866472910488,0.165386041944821,0.144817530996635,0.204689302514394,0.0830978105282298,0.135720820257872,0.0588270129856161,0.158015153120476,0.416797512829344,0.171786425715116,0.113482670629484,0.3321215594205,0.047864024384781,0.127089831522863,0.256416286093505,0.201084799752803,0.277652353326157,-0.129498943234809,-0.0436391368741802
"WC1","ORWT","C","5","14",-0.435974675926122,-0.23795818118905,-0.217972898555217,-0.440229853458131,-1.08680769552435,-0.864687017594779,-0.721894294920562,-0.602339391331362,-0.2391307844875,-0.499758705441932,-0.47884929954855,-0.68348265163835,-0.392274880642278,-0.411395011623394,-0.161743636375991,-0.175295379713464,-0.0933310331086092,-0.165370485870607,-0.111673339705471
"WC2","ORWT","C","50","14",0.288441455212912,0.0693485076538964,0.221506973615209,0.0312589972360096,0.0913637465609556,0.00266451286418423,0.0540781460104798,0.22117988362182,0.68508094837389,0.391098511178233,0.307564674190417,0.0995677811758453,0.382395252910423,0.384130184888864,0.387993489603918,0.145396519008886,0.210790853868517,-0.00916708686766743,0.0542219404395583
"WC3","ORWT","C","100","14",0.420096903094073,0.261027429993914,0.249342260835184,0.306340282428838,0.660274977947113,0.382953700111439,0.425301152081462,0.471338141363216,0.954331936979256,0.623682824046431,0.506681323248798,0.385262276532909,0.611759043271687,0.463481365421853,0.666754158006758,0.353962126151956,0.32804351353859,0.217901945882288,0.0985118224522754
"WC4","ORWT","C","5","40",-0.649076535494729,-0.466749125969145,-0.372571023378481,-0.502163146751948,-1.14277810902675,-1.02588956246094,-1.02049331919438,-0.792780235990818,-0.607716691042093,-0.973435151408103,-0.855974591254316,-0.649572193996386,-0.726235578400384,-0.633177792305735,-0.336311679016316,-0.290775584833817,-0.107908378684351,-0.436495703218207,-0.488586051707236
"WC5","ORWT","C","50","40",0.0285332900163908,0.158508266324368,0.0396858793677595,0.122748483935345,-0.0111494888337615,-0.0436551106605956,0.00430396489898666,0.0465092813824119,0.21906575757379,0.0297414220118251,0.0491696227816965,0.225864137383594,0.212523500278937,0.274270482354311,0.0406237217535246,0.180949079706113,0.196034117309928,-0.0852521177063821,-0.123287636966364
"WC6","ORWT","C","100","40",0.140577149455553,0.232360815368859,0.157650435948175,0.189507960890708,-0.0839489202228485,-0.0906874752116043,-0.106032484090615,0.0608078002176233,0.335174250041451,-0.00530528289926213,0.0439978570534425,0.209817021331739,0.153553729773122,0.139277108296974,0.196932543584802,0.250341380402508,0.263355135140388,0.0677947632693146,-0.0300315216897742
